dataset_id,snippet_id,person_id,readability_level,college_year
3,1,1,3,1
3,1,2,2,1
3,1,3,3,1
3,1,4,3,1
3,1,5,3,1
3,1,6,4,1
3,1,7,4,1
3,1,8,2,1
3,1,9,3,1
3,1,10,2,1
3,1,11,2,1
3,1,12,4,1
3,1,13,1,1
3,1,14,3,1
3,1,15,3,1
3,1,16,2,1
3,1,17,3,1
3,1,18,2,2
3,1,19,2,2
3,1,20,4,2
3,1,21,2,2
3,1,22,4,2
3,1,23,4,2
3,1,24,2,2
3,1,25,3,2
3,1,26,4,2
3,1,27,3,2
3,1,28,4,2
3,1,29,3,2
3,1,30,2,2
3,1,31,2,2
3,1,32,2,2
3,1,33,2,2
3,1,34,1,2
3,1,35,4,2
3,1,36,2,2
3,1,37,2,2
3,1,38,4,2
3,1,39,4,2
3,1,40,4,2
3,1,41,4,2
3,1,42,3,2
3,1,43,4,2
3,1,44,2,2
3,1,45,3,2
3,1,46,3,2
3,1,47,3,2
3,1,48,4,2
3,1,49,2,2
3,1,50,4,2
3,1,51,3,2
3,1,52,4,2
3,1,53,3,2
3,1,54,5,2
3,1,55,4,2
3,1,56,3,2
3,1,57,3,2
3,1,58,4,2
3,1,59,4,2
3,1,60,2,2
3,1,61,3,2
3,1,62,2,2
3,1,63,4,2
3,1,64,4,2
3,1,65,2,2
3,1,66,2,2
3,1,67,3,2
3,1,68,4,2
3,1,69,3,2
3,1,70,2,2
3,1,71,1,2
3,1,72,4,2
3,1,73,1,2
3,1,74,4,2
3,1,75,3,2
3,1,76,2,2
3,1,77,3,2
3,1,78,4,2
3,1,79,3,2
3,1,80,3,2
3,1,81,2,2
3,1,82,4,2
3,1,83,4,4
3,1,84,4,4
3,1,85,3,4
3,1,86,3,4
3,1,87,3,4
3,1,88,3,4
3,1,89,3,4
3,1,90,2,4
3,1,91,2,4
3,1,92,3,4
3,1,93,5,4
3,1,94,5,4
3,1,95,3,4
3,1,96,2,4
3,1,97,5,4
3,1,98,3,4
3,1,99,3,4
3,1,100,3,4
3,1,101,1,4
3,1,102,2,4
3,1,103,3,4
3,1,104,3,4
3,1,105,2,4
3,1,106,3,4
3,1,107,4,4
3,1,108,4,4
3,1,109,2,4
3,1,110,5,4
3,1,111,4,4
3,1,112,4,4
3,1,113,1,4
3,1,114,5,5
3,1,115,1,5
3,1,116,2,5
3,1,117,4,5
3,1,118,3,5
3,1,119,3,5
3,1,120,2,5
